location,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
Berlin,1983-06-18 00:00:00+00:00,18.539,9.039,13.755666
Berlin,1983-06-19 00:00:00+00:00,21.889,8.839,16.182749
Berlin,1983-06-20 00:00:00+00:00,23.989,9.688999,17.703585
Berlin,1983-06-21 00:00:00+00:00,26.088999,12.839,20.155668
Berlin,1983-06-22 00:00:00+00:00,22.139,12.789,17.213999
Berlin,1983-06-23 00:00:00+00:00,23.588999,10.589,17.684834
Berlin,1983-06-24 00:00:00+00:00,27.539,10.688999,20.391085
Berlin,1983-06-25 00:00:00+00:00,24.189,14.889,20.007751
Berlin,1983-06-26 00:00:00+00:00,23.389,12.089,18.672335
Berlin,1983-06-27 00:00:00+00:00,21.439,14.139,17.766083
Berlin,1983-06-28 00:00:00+00:00,17.338999,11.488999,14.380668
Berlin,1983-06-29 00:00:00+00:00,16.588999,9.889,13.643167
Berlin,1983-06-30 00:00:00+00:00,22.239,13.339,17.866085
Berlin,1983-07-01 00:00:00+00:00,19.989,12.889,16.768167
Berlin,1983-07-02 00:00:00+00:00,20.338999,10.238999,16.005667
Berlin,1983-07-03 00:00:00+00:00,22.739,13.389,18.741083
Berlin,1983-07-04 00:00:00+00:00,22.689,12.389,17.849415
Berlin,1983-07-05 00:00:00+00:00,24.539,11.889,19.086916
Berlin,1983-07-06 00:00:00+00:00,28.789,15.539,22.949419
Berlin,1983-07-07 00:00:00+00:00,29.889,19.739,24.911919
Berlin,1983-07-08 00:00:00+00:00,27.338999,17.439,22.493166
Berlin,1983-07-09 00:00:00+00:00,28.289,14.289,22.174416
Berlin,1983-07-10 00:00:00+00:00,29.889,16.588999,23.891085
Berlin,1983-07-11 00:00:00+00:00,29.939,17.588999,24.391083
Berlin,1983-07-12 00:00:00+00:00,29.889,17.739,24.586916
Berlin,1983-07-13 00:00:00+00:00,24.889,16.889,20.949419
Berlin,1983-07-14 00:00:00+00:00,24.338999,15.639,19.674416
Berlin,1983-07-15 00:00:00+00:00,26.739,15.988999,21.466085
Berlin,1983-07-16 00:00:00+00:00,26.289,16.939,22.034836
Berlin,1983-07-17 00:00:00+00:00,27.088999,13.938999,21.328585
Berlin,1983-07-18 00:00:00+00:00,30.389,19.439,25.126503
Berlin,1983-07-19 00:00:00+00:00,24.889,17.689,21.078583
Berlin,1983-07-20 00:00:00+00:00,18.039,12.639,15.4765005
Berlin,1983-07-21 00:00:00+00:00,17.939,10.988999,14.753583
Berlin,1983-07-22 00:00:00+00:00,23.088999,14.139,18.330667
Berlin,1983-07-23 00:00:00+00:00,26.289,13.988999,20.553583
Berlin,1983-07-24 00:00:00+00:00,28.239,14.488999,22.095253
Berlin,1983-07-25 00:00:00+00:00,26.139,15.639,21.193167
Berlin,1983-07-26 00:00:00+00:00,29.389,14.139,23.009836
Berlin,1983-07-27 00:00:00+00:00,32.939003,18.989,26.036917
Berlin,1983-07-28 00:00:00+00:00,26.489,18.189,22.432753
Berlin,1983-07-29 00:00:00+00:00,19.389,15.339,17.841084
Berlin,1983-07-30 00:00:00+00:00,22.739,14.889,18.972334
Berlin,1983-07-31 00:00:00+00:00,27.189,13.438999,20.941084
Berlin,1983-08-01 00:00:00+00:00,36.289,18.939,26.180666
Berlin,1983-08-02 00:00:00+00:00,23.189,18.189,20.409834
Berlin,1983-08-03 00:00:00+00:00,17.939,12.389,15.772335
Berlin,1983-08-04 00:00:00+00:00,14.089,12.139,13.103584
Berlin,1983-08-05 00:00:00+00:00,14.839,13.938999,14.264003
Berlin,1983-08-06 00:00:00+00:00,19.689,13.488999,16.580667
Berlin,1983-08-07 00:00:00+00:00,23.039,12.789,18.603584
